beta	file	sha256
4	out.dat	33ec138dcfa2b13f222aadad16378ef89bac32dc4e275fe7d3773b72e0a59e6c
4	szz.tsv	8aec91cd69cb5ca057a6880cd7734dec3c3b4dd95be303ef67c8f2014177274e
8	out.dat	293291c844ad47d9d3cf325f92ab9ae14e0acac1c6cd8d0f2b021afd149be6f6
8	szz.tsv	19332354a6e118b3f8f5491e9cfc5b8414edd906f3f4789552f89fac04d2bb94
12	out.dat	954d768b915ce9254d656a2f9897399ab72009149852aa69e3c3562565ac127b
12	szz.tsv	0030c61d15f674121f04b087407b4877dc036e574c771bd8a5543f6ac26cf485
16	out.dat	9c95d4aedd67b88d51122ebcade2352390103b67b3e150a0c3931012a6d44ee8
16	szz.tsv	d1f00efa6cfae6517f38502f6fac202ffcfbbd9a6e394c688889cfb87cc101b6
24	out.dat	48b1d3839b288e227ae8a5953f39ed93ac1ac5944ec145632dde67298ae3348e
24	szz.tsv	69f73e7a3b474cff2bbd0f33a1127c83f4fefe8fd2b326fe5d5232ef7a9ba9a3
32	out.dat	bf76251379c293f5266c567050b8f5d3cd4bb8e0ab8eb5e09156d150972d3427
32	szz.tsv	fbdf2db6e2a485c8488ce9318ac13ae63ade21d0ec1c95a88fda1ee2fbd32696
